Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
549,Grant Williams,PF,25,TOT,76,43,2130,4.7,10.2,.456,2.1,5.7,.375,2.5,4.5,.558,1.8,2.4,.757,1.5,3.9,5.4,2.9,0.7,0.7,1.8,3.8,13.3,willigr01
550,Jalen Williams,PF,22,OKC,71,71,2223,8.7,16.1,.540,1.7,3.9,.427,7.0,12.2,.576,2.9,3.6,.814,0.6,4.0,4.6,5.2,1.3,0.7,2.0,2.8,21.9,willija06
551,Jaylin Williams,C,21,OKC,69,1,897,3.8,9.2,.417,2.1,5.8,.368,1.7,3.4,.500,1.3,1.6,.805,1.4,7.9,9.4,4.4,1.1,1.1,1.4,3.9,11.1,willija07
552,Jeenathan Williams,SG,24,HOU,22,0,129,7.5,14.0,.540,0.6,1.4,.400,7.0,12.6,.556,2.0,3.6,.538,3.3,3.1,6.4,2.0,1.1,0.3,1.1,2.8,17.6,willije02
553,Kenrich Williams,PF,29,OKC,69,1,1029,4.6,9.8,.468,2.0,4.9,.397,2.6,4.9,.540,0.2,0.5,.500,2.1,5.2,7.3,3.3,1.3,0.3,1.1,3.5,11.4,willike04
554,Malik Williams,C,25,TOR,7,2,107,3.0,11.4,.265,0.3,1.7,.200,2.7,9.8,.276,0.0,0.7,.000,5.0,7.7,12.8,0.7,1.0,1.3,1.0,5.0,6.4,willima11
555,Mark Williams,C,22,CHO,19,19,508,6.9,10.7,.649,0.0,0.0,,6.9,10.7,.649,3.3,4.5,.719,5.4,7.7,13.0,1.6,1.1,1.4,1.2,3.5,17.1,willima07
556,Patrick Williams,PF,22,CHI,43,30,1174,4.9,11.0,.443,1.8,4.5,.399,3.1,6.5,.474,1.6,2.0,.788,1.4,3.7,5.1,2.0,1.2,1.0,1.7,2.7,13.2,willipa01
557,Robert Williams,C,26,POR,6,0,119,5.1,7.9,.654,0.0,0.0,,5.1,7.9,.654,2.1,2.7,.778,3.3,8.2,11.5,1.5,2.1,2.1,2.1,5.1,12.4,williro04
558,Vince Williams Jr.,SG,23,MEM,52,33,1436,4.2,9.5,.446,2.0,5.2,.378,2.3,4.3,.529,2.6,3.3,.800,1.5,5.8,7.3,4.4,1.2,0.9,2.3,3.4,13.1,willivi01
559,Ziaire Williams,SF,22,MEM,51,15,1038,5.2,13.1,.397,2.0,6.6,.307,3.2,6.6,.487,2.2,2.6,.827,1.2,5.0,6.2,2.6,1.2,0.3,2.3,2.9,14.6,willizi02
560,Zion Williamson,PF,23,NOP,70,70,2207,10.2,17.8,.570,0.1,0.3,.333,10.1,17.6,.574,5.7,8.1,.702,2.0,4.6,6.6,5.7,1.3,0.8,3.1,2.6,26.1,willizi01
561,D.J. Wilson,PF,27,PHI,2,0,15,9.6,14.4,.667,4.8,4.8,1.000,4.8,9.6,.500,0.0,0.0,,2.4,2.4,4.8,4.8,0.0,4.8,0.0,2.4,24.0,wilsodj01
